Entry	Gene Names	Function [CC]	Catalytic activity	EC number	gene_name	PubMed_IDs	Merged_Functions	Curated_Functions	Is_Metabolic	GO_MF	GO_BP	MetaCyc_Comment	MetaCyc_Less_Complete
P0A6M2	dsbB roxB ycgA b1185 JW5182	FUNCTION: Required for disulfide bond formation in some periplasmic proteins such as PhoA or OmpA. Acts by oxidizing the DsbA protein. PhoP-regulated transcription is redox-sensitive, being activated when the periplasm becomes more reducing (deletion of dsbA/dsbB, treatment with dithiothreitol). MgrB acts between DsbA/DsbB and PhoP/PhoQ in this pathway. {ECO:0000269|PubMed:22267510, ECO:0000269|PubMed:7688471, ECO:0000269|PubMed:8430071}.			dsbB roxB ycgA b1185 JW5182								skip
P0A6M4	dtd yihZ b3887 JW3858	FUNCTION: An aminoacyl-tRNA editing enzyme that deacylates mischarged D-aminoacyl-tRNAs, has no observable editing activity on tRNAs charged with cognate L-amino acid (PubMed:10383414, PubMed:10918062, PubMed:24302572, PubMed:27224426, PubMed:4292198). Edits mischarged glycyl-tRNA(Ala) more efficiently than AlaRS (PubMed:28362257). Acts via tRNA-based rather than protein-based catalysis (PubMed:24302572, PubMed:27224426, PubMed:28362257). Rejects correctly charged L-amino acid-tRNAs from its binding site rather than specifically recognizing incorrectly charged D-amino acid-tRNAs (PubMed:27224426). Hydrolyzes correctly charged, achiral, glycyl-tRNA(Gly); GTP-bound EF-Tu (tested with T.thermophilus EF-Tu AC Q5SHN6) protects charged glycyl-tRNA(Gly) from hydrolysis, while increasing Dtd levels or inactivating EF-Tu decreases protection (PubMed:27224426). Hydrolyzes mischarged glycyl-tRNA(Ala) (but not seryl-tRNA(Ala)) even in the presence of EF-Tu, edits about 4-fold better than the editing domain of AlaRS (PubMed:28362257). Has greater activity on glycyl-tRNA(Ala) than glycyl-tRNA(Gly) due in part to its recognition of the conserved tRNA(Ala) G3.U70 wobble base pair (PubMed:28362257). Binds D-amino acids but not L-amino acids (PubMed:16902403). Overexpression of E.coli or P.falciparum Dtd is toxic in E.coli, toxicity can be rescued by supplementation with Gly (PubMed:27224426). By recycling D-aminoacyl-tRNA to D-amino acids and free tRNA molecules, this enzyme counteracts the toxicity associated with the formation of D-aminoacyl-tRNA entities in vivo and helps enforce protein L-homochirality (PubMed:15292242). Hydrolyzes D-tyrosyl-tRNA(Tyr) (PubMed:10383414, PubMed:24302572, PubMed:27224426, PubMed:4292198). Hydrolyzes D-phenylalanyl-tRNA(Phe) (PubMed:24302572, PubMed:4292198). Hydrolyzes D-aspartyl-tRNA(Asp) (PubMed:10918062). Hydrolyzes D-tryptophanyl-tRNA(Trp) (PubMed:10918062). Hydrolyzes glycyl-tRNA(Gly) (PubMed:27224426). Hydrolyzes glycyl-tRNA(Ala) (PubMed:28362257). {ECO:0000269|PubMed:10383414, ECO:0000269|PubMed:10918062, ECO:0000269|PubMed:15292242, ECO:0000269|PubMed:16902403, ECO:0000269|PubMed:24302572, ECO:0000269|PubMed:25441601, ECO:0000269|PubMed:27224426, ECO:0000269|PubMed:28362257, ECO:0000269|PubMed:4292198}.	CATALYTIC ACTIVITY: Reaction=glycyl-tRNA(Ala) + H2O = tRNA(Ala) + glycine + H(+); Xref=Rhea:RHEA:53744, Rhea:RHEA-COMP:9657, Rhea:RHEA-COMP:13640, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:57305, ChEBI:CHEBI:78442, ChEBI:CHEBI:78522; EC=3.1.1.96; Evidence={ECO:0000255|HAMAP-Rule:MF_00518, ECO:0000269|PubMed:28362257}; CATALYTIC ACTIVITY: Reaction=a D-aminoacyl-tRNA + H2O = a tRNA + a D-alpha-amino acid + H(+); Xref=Rhea:RHEA:13953, Rhea:RHEA-COMP:10123, Rhea:RHEA-COMP:10124, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:59871, ChEBI:CHEBI:78442, ChEBI:CHEBI:79333; EC=3.1.1.96; Evidence={ECO:0000255|HAMAP-Rule:MF_00518, ECO:0000269|PubMed:10383414, ECO:0000269|PubMed:10918062, ECO:0000269|PubMed:4292198}; CATALYTIC ACTIVITY: Reaction=D-tyrosyl-tRNA(Tyr) + H2O = D-tyrosine + tRNA(Tyr); Xref=Rhea:RHEA:25347, Rhea:RHEA-COMP:9707, Rhea:RHEA-COMP:9872, ChEBI:CHEBI:15377, ChEBI:CHEBI:58570, ChEBI:CHEBI:78442, ChEBI:CHEBI:78723; Evidence={ECO:0000269|PubMed:10383414, ECO:0000269|PubMed:24302572, ECO:0000269|PubMed:27224426, ECO:0000269|PubMed:4292198};	3.1.1.96	dtd yihZ b3887 JW3858								skip
P0A6M8	fusA far fus b3340 JW3302	FUNCTION: Catalyzes the GTP-dependent ribosomal translocation step during translation elongation (PubMed:8985244). During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively (PubMed:8985244). Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (PubMed:8985244). {ECO:0000269|PubMed:8985244}.	CATALYTIC ACTIVITY: Reaction=GTP + H2O = GDP + phosphate + H(+); Xref=Rhea:RHEA:19669, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:37565, ChEBI:CHEBI:43474, ChEBI:CHEBI:58189; Evidence={ECO:0000269|PubMed:8985244}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:19670; Evidence={ECO:0000269|PubMed:8985244};	3.6.5.-	fusA far fus b3340 JW3302								skip
P0A6N4	efp b4147 JW4107	FUNCTION: Involved in peptide bond synthesis. Alleviates ribosome stalling that occurs when 3 or more consecutive Pro residues or the sequence PPG is present in a protein, possibly by augmenting the peptidyl transferase activity of the ribosome. Beta-lysylation at Lys-34 is required for alleviation. The Pro codons and their context do not affect activity; only consecutive Pro residues (not another amino acid) are affected by EF-P. Has stimulatory effects on peptide bond formation between ribosome-bound initiator tRNA(fMet) and puromycin, and N-acetyl-Phe tRNA(Phe)-primed poly(U)-directed poly(Phe) synthesis. {ECO:0000269|PubMed:23239623, ECO:0000269|PubMed:23239624}.			efp b4147 JW4107								skip
P0A6P1	tsf b0170 JW0165	FUNCTION: Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF-Tu.GTP complex up to the GTP hydrolysis stage on the ribosome. {ECO:0000255|HAMAP-Rule:MF_00050}.; FUNCTION: (Microbial infection) In case of infection by bacteriophage Qbeta (and related Leviviruses), part of the viral RNA-dependent RNA polymerase complex. With EF-Tu may provide a stabilizing scaffold for the beta (catalytic) subunit, implicated in the elongation step of viral RNA synthesis where it fixes EF-Tu in an open conformation. {ECO:0000269|PubMed:20534494, ECO:0000269|PubMed:20798060, ECO:0000269|PubMed:22245970, ECO:0000269|PubMed:22884418, ECO:0000269|PubMed:25122749, ECO:0000269|PubMed:816798}.; FUNCTION: (Microbial infection) Promotes the tRNase activity of CdiA-CT from E.coli strain EC869 (CdiA-CT-EC869); required in vivo but less so in vitro. Probably loads charged tRNA onto EF-Tu, making more ternary GTP-EF-Tu-aa-tRNA complexes. The guanine nucleotide exchange factor capacity of this protein does not seem to be needed as no GTP hydrolysis occurs during tRNA cleavage. Also required in vivo for toxic activity of CdiA-CT from E.coli strains NC101 and CdiA-CT-96.154. CdiA-CT is the toxic component of a toxin-immunity protein module, which functions as a cellular contact-dependent growth inhibition (CDI) system. CDI modules allow bacteria to communicate with and inhibit the growth of closely related neighboring bacteria in a contact-dependent fashion (PubMed:28223500). EF-Ts interacts with at least 2 different toxic CT domains, the 2 toxins are different and degrade tRNA at different positions (PubMed:28223500, PubMed:28973472). {ECO:0000269|PubMed:28223500, ECO:0000269|PubMed:28973472}.; FUNCTION: (Microbial infection) Promotes the tRNase activity of CdiA-CT from E.coli strain NC101 (CdiA-CT-NC101); required in vivo and in vitro. Probably loads charged tRNA onto EF-Tu, making more ternary GTP-EF-Tu-aa-tRNA complexes. The guanine nucleotide exchange factor capacity of this protein does not seem to be needed as no GTP hydrolysis occurs during tRNA cleavage. CdiA-CT is the toxic component of a toxin-immunity protein module, which functions as a cellular contact-dependent growth inhibition (CDI) system. CDI modules allow bacteria to communicate with and inhibit the growth of closely related neighboring bacteria in a contact-dependent fashion (PubMed:28973472). EF-Ts interacts with at least 2 different toxic CT domains, the 2 toxins are different and degrade tRNA at different positions (PubMed:28223500, PubMed:28973472). {ECO:0000269|PubMed:28223500, ECO:0000269|PubMed:28973472}.			tsf b0170 JW0165								skip
P0A6P5	der engA yfgK b2511 JW5403	FUNCTION: GTPase that plays an essential role in the late steps of ribosome biogenesis. GTPase point mutations (but not a deletion mutant) are suppressed by mild overexpression of RelA, probably due to increased levels of the stringent response mediator (p)ppGpp. 50S subunits assembled in the absence of Der are defective and unable to assemble into 70S ribosomes. GTPase activity is stimulated by YihI. Overexpression rescues an rrmJ deletion, stabilizing the 70S ribosome. Der and RrmJ are likely to share a mechanism to stabilize 50S ribosomal subunits at a very late stage of 50S subunit maturation possibly by interacting with 23S rRNA or 23S rRNA/r-protein complex. {ECO:0000269|PubMed:11976298, ECO:0000269|PubMed:16930151}.			der engA yfgK b2511 JW5403							"The Der protein is a GTPase that is ubiquitously conserved in eubacteria |CITS: |. It is associated with the large ribosomal subunit and is required for its stability |CITS: |. In E. coli, Der is essential for growth |CITS: |. GTP hydrolysis appears to regulate the specificity of interactions of Der with ribosomal subunits |CITS: |. The GAP-like protein |FRAME: CPLX0-7853 ""YihI""| interacts with Der and activates its GTPase activity |CITS: |. The GTPase activity of Der is also stimulated by the 50S ribosomal subunit |CITS: |. The KH-like C-terminal domain of Der plays a role in recognition of the ribosome |CITS: |. Der also interacts with |FRAME: G6362-MONOMER YbeY| |CITS: | and binds (p)ppGpp |CITS: |. The Der protein consists of two GTPase domains (GD1 and GD2) followed by a KH-like putative RNA-binding domain. A cryo-EM structure of Der bound to the 50S ribosomal subunit has been solved, showing that Der interacts with the peptidyl transferase center and induces significant structural changes |CITS: |. Mutants containing substitutions in either of the two predicted GTP binding domains of Der are not able to complement the lethal phenotype of the der null mutant at low temperature and are defective in ribosome biogenesis |CITS: |. Depletion of Der results in the accumulation of 23S and 16S rRNA precursors, accumulation of aberrant 50S ribosomal subunits at low concentrations of Mg2+ |CITS: | and cold sensitivity |CITS: |. Overexpression of RelA suppresses the growth defect of a der mutant |CITS: |. In a synthetic lethality screen, two mutations that alter highly conserved residues in Der, T57I and E271K, lead to dependence on the presence of |FRAME: EG10870-MONOMER L9| for survival. Both mutations are recessive and impair the GTPase activity of Der. The N-terminal domain of L9 is both necessary and sufficient for complementation of the derT57I mutant allele. Moderate overexpression of yihI can partially complement the colony and liquid culture growth defects of the derT57I mutant, but does not restore the GTPase activity of Der |CITS: |. Overexpression of der suppresses the growth and ribosome-related defects of a mutant lacking the RrmJ rRNA methyltransferase |CITS: |. Both the GTP binding domains and the C-terminal KH-like domain of Der are required for suppression |CITS: |. Der homologs from Klebsiella pneumoniae and Salmonella enterica serovar Typhimurium can complement an E. coli der mutant |CITS: |. A high-throughput screen for inhibitors of Der has been performed |CITS: |. The Der protein appears to be evenly distributed throughout the cytoplasm |CITS: |, but was also reported to associate with membrane proteins |CITS: |. Der: ""double-Era-like domains"" |CITS: | Reviews: |CITS: |"	skip
P0A6P9	eno b2779 JW2750	FUNCTION: Catalyzes the reversible conversion of 2-phosphoglycerate (2-PG) into phosphoenolpyruvate (PEP) (PubMed:2513001, PubMed:4942326). It is essential for the degradation of carbohydrates via glycolysis. {ECO:0000255|HAMAP-Rule:MF_00318, ECO:0000269|PubMed:2513001, ECO:0000269|PubMed:4942326}.; FUNCTION: Part of the RNA degradosome, a multi-enzyme complex involved in RNA processing and messenger RNA degradation (PubMed:8610017, PubMed:9732274). Its interaction with RNase E is important for the turnover of mRNA, in particular on transcripts encoding enzymes of energy-generating metabolic routes (PubMed:14981237). Its presence in the degradosome is required for the response to excess phosphosugar (PubMed:15522087). May play a regulatory role in the degradation of specific RNAs, such as ptsG mRNA, therefore linking cellular metabolic status with post-translational gene regulation (PubMed:15522087). {ECO:0000269|PubMed:14981237, ECO:0000269|PubMed:15522087, ECO:0000269|PubMed:17242352, ECO:0000269|PubMed:18337249, ECO:0000269|PubMed:8610017, ECO:0000269|PubMed:9732274}.	CATALYTIC ACTIVITY: Reaction=(2R)-2-phosphoglycerate = phosphoenolpyruvate + H2O; Xref=Rhea:RHEA:10164, ChEBI:CHEBI:15377, ChEBI:CHEBI:58289, ChEBI:CHEBI:58702; EC=4.2.1.11; Evidence={ECO:0000255|HAMAP-Rule:MF_00318, ECO:0000269|PubMed:2513001, ECO:0000269|PubMed:30714720, ECO:0000269|PubMed:4942326}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:10165; Evidence={ECO:0000269|PubMed:2513001, ECO:0000269|PubMed:30714720, ECO:0000269|PubMed:4942326}; PhysiologicalDirection=right-to-left; Xref=Rhea:RHEA:10166; Evidence={ECO:0000269|PubMed:2513001};	4.2.1.11	eno b2779 JW2750								skip
P0A6Q3	fabA b0954 JW0937	FUNCTION: Necessary for the introduction of cis unsaturation into fatty acids (PubMed:8910376). Catalyzes the dehydration of (3R)-3-hydroxydecanoyl-ACP to (2E)-decenoyl-ACP and then its isomerization to (3Z)-decenoyl-ACP (PubMed:8910376). Can catalyze the dehydratase reaction for beta-hydroxyacyl-ACPs with saturated chain lengths up to 16:0, being most active on intermediate chain length (PubMed:10629181, PubMed:7592873, PubMed:8910376). Is inactive in the dehydration of long chain unsaturated beta-hydroxyacyl-ACP (PubMed:8910376). {ECO:0000269|PubMed:10629181, ECO:0000269|PubMed:7592873, ECO:0000269|PubMed:8910376}.	CATALYTIC ACTIVITY: Reaction=a (3R)-hydroxyacyl-[ACP] = a (2E)-enoyl-[ACP] + H2O; Xref=Rhea:RHEA:13097, Rhea:RHEA-COMP:9925, Rhea:RHEA-COMP:9945, ChEBI:CHEBI:15377, ChEBI:CHEBI:78784, ChEBI:CHEBI:78827; EC=4.2.1.59; Evidence={ECO:0000269|PubMed:10629181, ECO:0000269|PubMed:7592873, ECO:0000269|PubMed:8910376}; CATALYTIC ACTIVITY: Reaction=(3R)-hydroxydecanoyl-[ACP] = (2E)-decenoyl-[ACP] + H2O; Xref=Rhea:RHEA:41860, Rhea:RHEA-COMP:9638, Rhea:RHEA-COMP:9639, ChEBI:CHEBI:15377, ChEBI:CHEBI:78466, ChEBI:CHEBI:78467; Evidence={ECO:0000269|PubMed:8910376}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:41861; Evidence={ECO:0000269|PubMed:8910376}; CATALYTIC ACTIVITY: Reaction=(2E)-decenoyl-[ACP] = (3Z)-decenoyl-[ACP]; Xref=Rhea:RHEA:23568, Rhea:RHEA-COMP:9639, Rhea:RHEA-COMP:9927, ChEBI:CHEBI:78467, ChEBI:CHEBI:78798; EC=5.3.3.14; Evidence={ECO:0000269|PubMed:8910376}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:23569; Evidence={ECO:0000269|PubMed:8910376}; CATALYTIC ACTIVITY: Reaction=(3R)-hydroxybutanoyl-[ACP] = (2E)-butenoyl-[ACP] + H2O; Xref=Rhea:RHEA:41808, Rhea:RHEA-COMP:9626, Rhea:RHEA-COMP:9627, ChEBI:CHEBI:15377, ChEBI:CHEBI:78451, ChEBI:CHEBI:78453; Evidence={ECO:0000269|PubMed:10629181, ECO:0000269|PubMed:7592873, ECO:0000269|PubMed:8910376}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:41809; Evidence={ECO:0000269|PubMed:10629181, ECO:0000269|PubMed:7592873, ECO:0000269|PubMed:8910376}; CATALYTIC ACTIVITY: Reaction=(3R)-hydroxyhexanoyl-[ACP] = (2E)-hexenoyl-[ACP] + H2O; Xref=Rhea:RHEA:41828, Rhea:RHEA-COMP:9630, Rhea:RHEA-COMP:9631, ChEBI:CHEBI:15377, ChEBI:CHEBI:78457, ChEBI:CHEBI:78458; Evidence={ECO:0000269|PubMed:8910376}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:41829; Evidence={ECO:0000269|PubMed:8910376}; CATALYTIC ACTIVITY: Reaction=(3R)-hydroxyoctanoyl-[ACP] = (2E)-octenoyl-[ACP] + H2O; Xref=Rhea:RHEA:41844, Rhea:RHEA-COMP:9634, Rhea:RHEA-COMP:9635, ChEBI:CHEBI:15377, ChEBI:CHEBI:78461, ChEBI:CHEBI:78462; Evidence={ECO:0000269|PubMed:8910376}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:41845; Evidence={ECO:0000269|PubMed:8910376}; CATALYTIC ACTIVITY: Reaction=(3R)-hydroxydodecanoyl-[ACP] = (2E)-dodecenoyl-[ACP] + H2O; Xref=Rhea:RHEA:41876, Rhea:RHEA-COMP:9642, Rhea:RHEA-COMP:9643, ChEBI:CHEBI:15377, ChEBI:CHEBI:78470, ChEBI:CHEBI:78472; Evidence={ECO:0000269|PubMed:8910376}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:41877; Evidence={ECO:0000269|PubMed:8910376}; CATALYTIC ACTIVITY: Reaction=(3R)-hydroxytetradecanoyl-[ACP] = (2E)-tetradecenoyl-[ACP] + H2O; Xref=Rhea:RHEA:41892, Rhea:RHEA-COMP:9646, Rhea:RHEA-COMP:9647, ChEBI:CHEBI:15377, ChEBI:CHEBI:78474, ChEBI:CHEBI:78475; Evidence={ECO:0000269|PubMed:8910376}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:41893; Evidence={ECO:0000269|PubMed:8910376}; CATALYTIC ACTIVITY: Reaction=(3R)-hydroxyhexadecanoyl-[ACP] = (2E)-hexadecenoyl-[ACP] + H2O; Xref=Rhea:RHEA:41908, Rhea:RHEA-COMP:9650, Rhea:RHEA-COMP:9651, ChEBI:CHEBI:15377, ChEBI:CHEBI:78480, ChEBI:CHEBI:78481; Evidence={ECO:0000269|PubMed:8910376}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:41909; Evidence={ECO:0000269|PubMed:8910376}; CATALYTIC ACTIVITY: Reaction=(3R)-hydroxy-5-methylhexanoyl-[ACP] = (2E)-5-methylhexenoyl-[ACP] + H2O; Xref=Rhea:RHEA:55128, Rhea:RHEA-COMP:14095, Rhea:RHEA-COMP:14097, ChEBI:CHEBI:15377, ChEBI:CHEBI:78986, ChEBI:CHEBI:138610; Evidence={ECO:0000269|PubMed:10629181}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:55129; Evidence={ECO:0000269|PubMed:10629181};	4.2.1.59; 5.3.3.14	fabA b0954 JW0937								skip
P0A6Q6	fabZ sefA yaeA b0180 JW0175	FUNCTION: Involved in unsaturated fatty acids biosynthesis. Catalyzes the dehydration of short chain beta-hydroxyacyl-ACPs and long chain saturated and unsaturated beta-hydroxyacyl-ACPs. {ECO:0000269|PubMed:10629181, ECO:0000269|PubMed:7806516, ECO:0000269|PubMed:8910376}.	CATALYTIC ACTIVITY: Reaction=a (3R)-hydroxyacyl-[ACP] = a (2E)-enoyl-[ACP] + H2O; Xref=Rhea:RHEA:13097, Rhea:RHEA-COMP:9925, Rhea:RHEA-COMP:9945, ChEBI:CHEBI:15377, ChEBI:CHEBI:78784, ChEBI:CHEBI:78827; EC=4.2.1.59; Evidence={ECO:0000269|PubMed:10629181, ECO:0000269|PubMed:7806516, ECO:0000269|PubMed:8910376}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:13098; Evidence={ECO:0000269|PubMed:10629181, ECO:0000269|PubMed:7806516, ECO:0000269|PubMed:8910376}; CATALYTIC ACTIVITY: Reaction=(3R)-hydroxybutanoyl-[ACP] = (2E)-butenoyl-[ACP] + H2O; Xref=Rhea:RHEA:41808, Rhea:RHEA-COMP:9626, Rhea:RHEA-COMP:9627, ChEBI:CHEBI:15377, ChEBI:CHEBI:78451, ChEBI:CHEBI:78453; Evidence={ECO:0000269|PubMed:10629181, ECO:0000269|PubMed:8910376}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:41809; Evidence={ECO:0000269|PubMed:10629181, ECO:0000269|PubMed:8910376}; CATALYTIC ACTIVITY: Reaction=(3R)-hydroxyhexanoyl-[ACP] = (2E)-hexenoyl-[ACP] + H2O; Xref=Rhea:RHEA:41828, Rhea:RHEA-COMP:9630, Rhea:RHEA-COMP:9631, ChEBI:CHEBI:15377, ChEBI:CHEBI:78457, ChEBI:CHEBI:78458; Evidence={ECO:0000269|PubMed:8910376}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:41829; Evidence={ECO:0000269|PubMed:8910376}; CATALYTIC ACTIVITY: Reaction=(3R)-hydroxyoctanoyl-[ACP] = (2E)-octenoyl-[ACP] + H2O; Xref=Rhea:RHEA:41844, Rhea:RHEA-COMP:9634, Rhea:RHEA-COMP:9635, ChEBI:CHEBI:15377, ChEBI:CHEBI:78461, ChEBI:CHEBI:78462; Evidence={ECO:0000269|PubMed:8910376}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:41845; Evidence={ECO:0000269|PubMed:8910376}; CATALYTIC ACTIVITY: Reaction=(3R)-hydroxydecanoyl-[ACP] = (2E)-decenoyl-[ACP] + H2O; Xref=Rhea:RHEA:41860, Rhea:RHEA-COMP:9638, Rhea:RHEA-COMP:9639, ChEBI:CHEBI:15377, ChEBI:CHEBI:78466, ChEBI:CHEBI:78467; Evidence={ECO:0000269|PubMed:8910376}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:41861; Evidence={ECO:0000269|PubMed:8910376}; CATALYTIC ACTIVITY: Reaction=(3R)-hydroxydodecanoyl-[ACP] = (2E)-dodecenoyl-[ACP] + H2O; Xref=Rhea:RHEA:41876, Rhea:RHEA-COMP:9642, Rhea:RHEA-COMP:9643, ChEBI:CHEBI:15377, ChEBI:CHEBI:78470, ChEBI:CHEBI:78472; Evidence={ECO:0000269|PubMed:8910376}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:41877; Evidence={ECO:0000269|PubMed:8910376}; CATALYTIC ACTIVITY: Reaction=(3R)-hydroxytetradecanoyl-[ACP] = (2E)-tetradecenoyl-[ACP] + H2O; Xref=Rhea:RHEA:41892, Rhea:RHEA-COMP:9646, Rhea:RHEA-COMP:9647, ChEBI:CHEBI:15377, ChEBI:CHEBI:78474, ChEBI:CHEBI:78475; Evidence={ECO:0000269|PubMed:7806516, ECO:0000269|PubMed:8910376}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:41893; Evidence={ECO:0000269|PubMed:7806516, ECO:0000269|PubMed:8910376}; CATALYTIC ACTIVITY: Reaction=(3R)-hydroxyhexadecanoyl-[ACP] = (2E)-hexadecenoyl-[ACP] + H2O; Xref=Rhea:RHEA:41908, Rhea:RHEA-COMP:9650, Rhea:RHEA-COMP:9651, ChEBI:CHEBI:15377, ChEBI:CHEBI:78480, ChEBI:CHEBI:78481; Evidence={ECO:0000269|PubMed:8910376}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:41909; Evidence={ECO:0000269|PubMed:8910376}; CATALYTIC ACTIVITY: Reaction=(3R)-hydroxy-(9Z)-hexadecenoyl-[ACP] = (2E,9Z)-hexadecadienoyl-[ACP] + H2O; Xref=Rhea:RHEA:54932, Rhea:RHEA-COMP:14036, Rhea:RHEA-COMP:14040, ChEBI:CHEBI:15377, ChEBI:CHEBI:138403, ChEBI:CHEBI:138407; Evidence={ECO:0000269|PubMed:8910376}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:54933; Evidence={ECO:0000269|PubMed:8910376}; CATALYTIC ACTIVITY: Reaction=(3R)-hydroxy-5-methylhexanoyl-[ACP] = (2E)-5-methylhexenoyl-[ACP] + H2O; Xref=Rhea:RHEA:55128, Rhea:RHEA-COMP:14095, Rhea:RHEA-COMP:14097, ChEBI:CHEBI:15377, ChEBI:CHEBI:78986, ChEBI:CHEBI:138610; Evidence={ECO:0000269|PubMed:10629181}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:55129; Evidence={ECO:0000269|PubMed:10629181};	4.2.1.59	fabZ sefA yaeA b0180 JW0175								skip
P0A6R0	fabH b1091 JW1077	FUNCTION: Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Has some substrate specificity for acetyl-CoA. Its substrate specificity determines the biosynthesis of straight-chain of fatty acids instead of branched-chain (PubMed:10629181, PubMed:7592873, PubMed:8631920, PubMed:8910376). Can also use propionyl-CoA, with lower efficiency (PubMed:10629181, PubMed:8631920). {ECO:0000269|PubMed:10629181, ECO:0000269|PubMed:7592873, ECO:0000269|PubMed:8631920, ECO:0000269|PubMed:8910376}.	CATALYTIC ACTIVITY: Reaction=malonyl-[ACP] + acetyl-CoA + H(+) = 3-oxobutanoyl-[ACP] + CO2 + CoA; Xref=Rhea:RHEA:12080, Rhea:RHEA-COMP:9623, Rhea:RHEA-COMP:9625, ChEBI:CHEBI:15378, ChEBI:CHEBI:16526, ChEBI:CHEBI:57287, ChEBI:CHEBI:57288, ChEBI:CHEBI:78449, ChEBI:CHEBI:78450; EC=2.3.1.180; Evidence={ECO:0000255|HAMAP-Rule:MF_01815, ECO:0000269|PubMed:10629181, ECO:0000269|PubMed:7592873, ECO:0000269|PubMed:8631920, ECO:0000269|PubMed:8910376}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:12081; Evidence={ECO:0000269|PubMed:10629181, ECO:0000269|PubMed:7592873, ECO:0000269|PubMed:8631920, ECO:0000269|PubMed:8910376}; CATALYTIC ACTIVITY: Reaction=malonyl-[ACP] + propanoyl-CoA + H(+) = 3-oxopentanoyl-[ACP] + CO2 + CoA; Xref=Rhea:RHEA:42244, Rhea:RHEA-COMP:9623, Rhea:RHEA-COMP:9939, ChEBI:CHEBI:15378, ChEBI:CHEBI:16526, ChEBI:CHEBI:57287, ChEBI:CHEBI:57392, ChEBI:CHEBI:78449, ChEBI:CHEBI:78818; Evidence={ECO:0000269|PubMed:10629181, ECO:0000269|PubMed:8631920}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:42245; Evidence={ECO:0000269|PubMed:10629181, ECO:0000269|PubMed:8631920};	2.3.1.180	fabH b1091 JW1077								skip
P0A6R3	fis b3261 JW3229	FUNCTION: Activates ribosomal RNA transcription, as well other genes. Plays a direct role in upstream activation of rRNA promoters. Binds to a recombinational enhancer sequence that is required to stimulate hin-mediated DNA inversion. Prevents initiation of DNA replication from oriC. Binds to hundreds of transcriptionally active and inactive AT-rich sites, approximately half its binding sites are in non-coding DNA, which only accounts for about 10% of the genome (PubMed:16963779). {ECO:0000269|PubMed:16963779, ECO:0000269|PubMed:2209559, ECO:0000269|PubMed:8836178}.			fis b3261 JW3229								skip
P0A6S5	ftsB ygbQ b2748 JW2718	FUNCTION: Essential cell division protein. May link together the upstream cell division proteins, which are predominantly cytoplasmic, with the downstream cell division proteins, which are predominantly periplasmic. {ECO:0000255|HAMAP-Rule:MF_00599, ECO:0000269|PubMed:11972052, ECO:0000269|PubMed:19233928}.			ftsB ygbQ b2748 JW2718								skip
